S NO,Consistency No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
381,145,NOTA,None of the Above,1078,14,1092,0.62
382,91,DHIRENDRA BAHADUR SINGH DHIRU,Bharatiya Janata Party,112644,272,112916,56.92
383,91,VIJAY RAGHVENDRA SINGH (BASANT SINGH),Indian National Congress,61416,507,61923,31.21
384,91,ARVIND SINGH TEKAM,Gondvana Gantantra Party,10032,28,10060,5.07
385,91,SUSHRI KUNTI KOL,Samajwadi Party,513,6,519,0.26
386,91,JABAHAR SINGH,Aapka Gantantra Party,465,1,466,0.23
387,91,SURESH KOL,Communist Party of India,3307,9,3316,1.67
388,91,GEETA SINGH,Independent,4248,25,4273,2.15
389,91,DURGA MOSI,Independent,1520,1,1521,0.77
390,91,NOTA,None of the Above,3379,7,3386,1.71
391,96,AANAND SINGH LODHI,Aam Aadmi Party,2350,5,2355,1.19
392,96,NEERAJ SINGH LODHI,Bharatiya Janata Party,109080,426,109506,55.36
393,96,"SANJAY YADAV ""SEONI TOLA""",Indian National Congress,68913,636,69549,35.16
394,96,ANEETA PATEL,Bhartiya Shakti Chetna Party,1648,3,1651,0.83
395,96,ASHISH MISHRA,Samajwadi Party,385,0,385,0.19
396,96,JAYKANT SOBARAN SINGH (BABUJI),Vastavik Bharat Party,1433,9,1442,0.73
397,96,MANGILAL MARAVI,Gondvana Gantantra Party,8364,29,8393,4.24
398,96,MUNNA LODHI,Independent,1261,3,1264,0.64
399,96,MONU SATYA SINGH PATEL,Independent,1421,1,1422,0.72
400,96,NOTA,None of the Above,1826,10,1836,0.93
401,114,ARJUN SINGH KAKODIA,Indian National Congress,94029,964,94993,43.93
402,114,KAMAL MARSKOLE,Bharatiya Janata Party,111614,460,112074,51.83
403,114,KIRAN MARKAM,Bahujan Samaj Party,1678,16,1694,0.78
404,114,ANIL SINGH GOND(GONGE BHAIYA),Sanyukt Kranti Party,350,2,352,0.16
405,114,RAJKUMAR SARYAM ( RAJJU),Rashtriya Gondvana Party,369,5,374,0.17
406,114,RAJKUMARI DHURVE,Mahakaushal Rashtriya Party,290,0,290,0.13
407,114,SAWAN KUMAR,Bahujan Mukti Party,391,2,393,0.18
408,114,AJAY PARTE,Independent,470,3,473,0.22
409,114,YASHPAL BHALAVI (MASAB),Independent,567,1,568,0.26
410,114,SUNIL UIKEY,Independent,2793,3,2796,1.29
411,114,NOTA,None of the Above,2195,14,2209,1.02
412,89,SHIVNARAYAN GYAN SINGH (LALLU BHAIYA),Bharatiya Janata Party,89568,386,89954,49.51
413,89,SAVITRI SINGH DHURVE,Indian National Congress,65476,767,66243,36.46
414,89,JAGDISH SINGH,Vindhya Janta Party,1505,6,1511,0.83
415,89,BALA SINGH TEKAM,Gondvana Gantantra Party,16853,87,16940,9.32
416,89,MADHURI SINGH,Bhartiya Shakti Chetna Party,870,2,872,0.48
417,89,RAJBHAN SINGH,Peoples Party of India (Democratic),490,6,496,0.27
418,89,SAVITRI URF MAMMI KOL,Sapaks Party,641,6,647,0.36
419,89,KANTI DEVI MARAVI,Independent,722,0,722,0.4
420,89,CHAMARU SINGH,Independent,1069,3,1072,0.59
421,89,NOTA,None of the Above,3236,7,3243,1.78
422,42,"TARVAR SINGH LODHI ""BANTU BHAIYA""",Indian National Congress,55600,560,56160,28.93
423,42,KUNWAR RANJOR SINGH BUNDELA,Bahujan Samaj Party,13698,67,13765,7.09
424,42,VEERENDRA SINGH LODHI,Bharatiya Janata Party,90634,277,90911,46.83
425,42,SUDHIR YADAV,Aam Aadmi Party,24422,70,24492,12.62
426,42,BHANUPRATAP SINGH LODHI,Bhartiya Shakti Chetna Party,1501,1,1502,0.77
427,42,RAM BHAJAN BANSHAL,Bharatiya Sampuran Krantikari Party,246,1,247,0.13
428,42,SUNEEL JAIN (MAGARDHA),Samajwadi Party,382,2,384,0.2
429,42,CHAND KHAN,Independent,569,0,569,0.29
430,42,Ad. PUSHPENDRA AHIRWAR,Independent,336,4,340,0.18
431,42,BHAGWANDAS YADAV,Independent,295,0,295,0.15
432,42,ROVA,Independent,438,2,440,0.23
433,42,LAXMAN SINGH,Independent,681,0,681,0.35
434,42,"VEERENDRA SINGH LODHI ""LAMBARDAR""",Independent,2250,0,2250,1.16
435,42,VIRENDRA BHAIYA,Independent,684,1,685,0.35
436,42,NOTA,None of the Above,1407,2,1409,0.73
437,28,RISHI AGRAWAL,Indian National Congress,92965,743,93708,51.19
438,28,Manisha Rajesh Singh Dhakad,Bahujan Samaj Party,3483,13,3496,1.91
439,28,MAHENDRA SINGH SISODIA (SANJU BHAIYA),Bharatiya Janata Party,78543,369,78912,43.11
440,28,URmila Bai,Lok Samaj Party,1296,1,1297,0.71
441,28,Dɤ. PHooL SiNGH KUSHWAH,Pichhara Samaj Party United,306,0,306,0.17
442,28,RANJANA KUSHWAH,Aazad Samaj Party (Kanshi Ram),819,3,822,0.45
443,28,SHRiRAM SEN,Socialist Unity Centre Of India (COMMUNIST),245,0,245,0.13
444,28,AMIT SHRIVASTAVA GUNA WALE,Independent,196,1,197,0.11
445,28,ASHISH (LAL MAHARAJ),Independent,262,2,264,0.14
446,28,KRiSHN RAO. KAPSE (KAPSE BABU),Independent,361,1,362,0.2
447,28,SANTOSH,Independent,702,0,702,0.38
448,28,SURAJ LAL LODHA HARIPUR,Independent,669,0,669,0.37
449,28,NOTA,None of the Above,2058,6,2064,1.13
450,111,ANUBHA MUNJARE,Indian National Congress,106796,1974,108770,54.83
451,111,KAMAL KISHOR RAUT,Bahujan Samaj Party,1646,56,1702,0.86
452,111,GAURISHANKAR BISEN CHATURBHUG BISEN,Bharatiya Janata Party,78735,840,79575,40.11
453,111,SHIV JAISWAL,Aam Aadmi Party,1015,6,1021,0.51
454,111,JITENDRA GOYAL,Bahujan Mukti Party,138,2,140,0.07
455,111,DINESH,Peoples Party of India (Democratic),131,1,132,0.07
456,111,MOHAN KUMAR RAUT,National World Leader Party,163,0,163,0.08
457,111,VIJAY KUMAR PATLE,Janata Dal (United),109,1,110,0.06
458,111,ADVOCATE SATYAPRAKASH SHULKE,Madhya Pradesh Jan Vikas Party,113,1,114,0.06
459,111,AJEY VISHAL BISEN,Independent,2229,21,2250,1.13
460,111,DEEPAK PANCHESHWAR,Independent,288,3,291,0.15
461,111,DHANIRAM,Independent,300,1,301,0.15
462,111,BABBAN KHAN,Independent,205,1,206,0.1
463,111,MANISHA NANU VAIDYA,Independent,567,3,570,0.29
464,111,MAHENDRA SIHORE,Independent,246,0,246,0.12
465,111,RUPLAL KUTRAHE (SOSL WARKR),Independent,1103,0,1103,0.56
466,111,GYANSINGH EDPACHE,Independent,1145,2,1147,0.58
467,111,NOTA,None of the Above,521,13,534,0.27
468,108,BHAGAT SINGH NETAM,Bharatiya Janata Party,89118,473,89591,45.06
469,108,SANJAY UIKEY,Indian National Congress,88983,1159,90142,45.33
470,108,ASHOK MASIH DHURVE,Communist Party of India,2534,9,2543,1.28
471,108,FATTESINGH KAMLESH,Gondvana Gantantra Party,8578,68,8646,4.35
472,108,DILAN SINGH KODAPE,Independent,455,0,455,0.23
473,108,DEEPAK UIKEY,Independent,432,2,434,0.22
474,108,BUDHRAM DHURWAY,Independent,423,0,423,0.21
475,108,ROSHANI TILGAM,Independent,751,7,758,0.38
476,108,SONAL SIRSAM,Independent,1044,1,1045,0.53
477,108,SANJAY MASRAM,Independent,1318,2,1320,0.66
478,108,NOTA,None of the Above,3478,6,3484,1.75
