Constituency,Constituency NO,Winning Candidate,Party,Total Votes,Margin,Round
Sihawal,78,VISHWAMITRA PATHAK,Bharatiya Janata Party,87085,16478,20
Sihora,102,SANTOSH VARKADE,Bharatiya Janata Party,101777,42772,18
Silwani,143,DEVENDRA PATEL,Indian National Congress,95935,11454,20
Singrauli,80,RAM NIWAS SHAH,Bharatiya Janata Party,74669,37977,20
Sirmour,68,DIVYARAJ SINGH,Bharatiya Janata Party,54875,13790,18
Sironj,147,UMAKANT SHARMA,Bharatiya Janata Party,97995,27682,19
Sohagpur,138,VIJAYPAL SINGH,Bharatiya Janata Party,103379,1762,20
Sonkatch,170,Dr. RAJESH SONKAR,Bharatiya Janata Party,108869,25437,21
Sumawali,5,AIDAL SINGH KANSANA,Bharatiya Janata Party,72508,16008,22
Surkhi,37,GOVIND SINGH RAJPUT,Bharatiya Janata Party,83551,2178,21
Susner,165,"BHAIRON SINGH "" BAPU """,Indian National Congress,97584,12645,22
Suwasra,226,Dung Hardeepsingh,Bharatiya Janata Party,124295,22669,22
Tarana,214,MAHESH PARMAR,Indian National Congress,75819,2183,17
Tendukheda ,120,"VISHWANATH SINGH ""MULAM BHAIYA""",Bharatiya Janata Party,83916,12347,16
Teonthar,70,SIDDHARTH TIWARI 'RAJ',Bharatiya Janata Party,61082,4746,17
Thandla,194,VEERSINGH BHURIYA,Indian National Congress,105197,1340,22
Tikamgarh,43,YADVENDRA SINGH (JAGGU BHAIYA),Indian National Congress,83397,9118,19
Timarni,134,ABHIJEET SHAH (ANKIT BABA),Indian National Congress,76554,950,18
Udaipura,140,NARENDRA SHIVAJI PATEL,Bharatiya Janata Party,124279,42823,19
Ujjain Dakshin,217,DR. MOHAN YADAV,Bharatiya Janata Party,95699,12941,21
Ujjain Uttar,216,ANIL JAIN KALUHEDA,Bharatiya Janata Party,93535,27513,19
Vidisha ,144,MUKESH TANDAN,Bharatiya Janata Party,99246,26810,20
Vijaypur,2,RAMNIWAS RAWAT,Indian National Congress,69646,18059,24
Vijayraghavgarh,92,SANJAY SATYENDRA PATHAK,Bharatiya Janata Party,98010,24346,20
Waraseoni,112,VIVEK VICKY PATEL,Indian National Congress,79597,1003,18
